1,1,1,1,1,0,0,1,AFL
1,0,1,1,1,0,0,1,AFL
1,1,0,1,1,0,0,1,Basketball
1,1,0,1,1,0,0,1,Basketball
1,1,0,1,1,0,1,1,Basketball
1,1,0,1,1,0,0,1,Basketball
1,1,1,1,1,0,0,1,Basketball
1,1,1,1,1,0,0,1,Basketball
1,1,1,1,1,0,0,1,Basketball
1,1,1,1,1,0,0,1,Basketball
1,1,1,1,1,0,0,1,Basketball
0,0,1,1,0,0,0,0,Boxing
0,1,0,1,0,1,0,0,Cricket
1,1,1,1,0,0,1,0,Cricket
0,1,1,1,0,1,0,1,Cricket
0,0,0,1,1,1,0,0,Golf
1,1,0,1,0,0,0,1,Soccer
0,1,1,0,1,0,0,1,Soccer
0,1,1,1,0,0,0,1,Soccer
0,1,1,0,0,0,0,1,Soccer
0,1,1,0,0,0,0,1,Soccer
0,1,1,0,0,0,1,1,Soccer
0,1,1,0,0,0,0,1,Soccer
0,1,1,0,0,0,0,1,Soccer
0,1,1,0,0,0,0,1,Soccer
1,0,0,1,0,0,1,0,Swimming
1,0,0,1,0,0,1,0,Swimming
1,0,0,1,1,0,1,1,Swimming
1,1,1,1,0,0,1,1,Swimming
0,1,1,1,1,0,1,0,Swimming
0,1,1,1,1,0,1,0,Swimming
1,1,0,1,1,1,0,0,Table Tennis
1,1,0,1,1,0,0,0,Tennis
0,1,0,1,0,0,1,1,Tennis
1,1,1,1,1,1,1,1,Tennis
0,0,1,1,0,0,0,1,Tennis
1,1,0,1,1,1,1,1,Volleyball
1,1,0,1,0,1,0,0,Volleyball
1,1,0,1,1,1,0,0,Volleyball
0,1,0,1,1,0,1,1,Swimming
0,1,1,1,1,0,0,1,Basketball
1,1,1,1,1,0,0,1,Basketball
0,0,1,1,1,0,0,1,Tennis
